bms_E,minus_log_prob_tree,expression
67.5558470895073,34.450299938746674, sqrt((pow2(sin((tan(_a7_) / sin(_a5_)))) + _a2_))
64.3754321933764,17.546076912459533, cosh((x / tan(_a3_)))
23.4754749674275,16.904223026287138, (sin(_a8_) / fac(_a3_))
31.8435248209000,10.270904593006762, pow3(pow2(_a9_))
7.36092554121744,9.629050706834368, (_a4_ * _a8_)
26.2849763511201,9.629050706834368, (_a9_ * _a9_)
52.4806028926423,20.541809186013523, sqrt(fac(tan((_a7_ ** _a2_))))
42.4920409333668,16.904223026287138, abs((_a7_ / sin(_a8_)))
46.6688326987995,13.908490752733147, abs((x + _a2_))
66.2836930803677,24.17939534573991, (cosh(tanh(_a9_)) / sinh(sinh(_a4_)))
26.1288790827074,16.904223026287138, (tanh(tan(_a4_)) + _a6_)
83.0339170979732,37.446032212300665, pow2(cosh(((_a0_ * _a1_) * exp(pow2((_a7_ ** _a2_))))))
54.5097818178047,16.904223026287138, cos((_a5_ / sinh(_a5_)))
47.4336074529253,17.546076912459533, tan(pow3(pow2(pow3(_a5_))))
30.0028863797594,17.546076912459533, tan(exp(fac(cos(_a4_))))
44.8678223014411,23.537541459567514, ((tanh(pow2(_a8_)) * _a2_) * _a2_)
34.3757245502763,13.266636866560754, (pow3(_a2_) * _a0_)
31.4807769604855,13.266636866560754, pow2((_a2_ * _a7_))
80.4601089128935,27.816981505466295, tanh(-((log(sinh(tan(_a9_))) ** _a7_)))
41.2409998429276,16.904223026287138, abs(exp((_a2_ / _a8_)))
12.7202575712604,13.266636866560754, (log(_a1_) * _a9_)
38.7405269328035,16.904223026287138, log(fac((_a4_ + _a1_)))
57.8237251058393,13.908490752733147, fac(pow3(-(_a5_)))
81.3045527079036,44.721204531753436, ((exp(sin(pow3(sin(_a6_)))) / (_a2_ / pow3(_a6_))) ** sin(_a5_))
29.6938192197795,13.908490752733147, -(fac(sqrt(_a4_)))
52.8326967610577,27.1751276192939, (exp(_a8_) / (_a8_ ** log(pow3(_a1_))))
14.6286683162803,13.266636866560754, (cos(_a1_) + _a6_)
68.5620648703395,20.541809186013523, exp(pow3((tanh(_a1_) + _a2_)))
21.1012410962743,16.904223026287138, pow3(cos((_a1_ / _a7_)))
54.8319358094939,13.266636866560754, fac((_a6_ / _a6_))
12.2292056839498,13.266636866560754, (_a8_ + -(_a4_))
50.7555674858463,20.541809186013523, sinh(pow2((_a9_ ** tanh(_a6_))))
16.7236128634849,10.270904593006762, sin(cosh(_a2_))
65.1084579934417,27.816981505466295, abs(sin(tan(abs((_a7_ / pow3(_a3_))))))
81.4958378968070,41.08361837202705, (cosh(sinh(-(tanh(tan(_a4_))))) / (_a1_ + (_a6_ * _a0_)))
30.0655497567579,24.17939534573991, (log(pow2(pow2(sinh(_a7_)))) + _a8_)
36.1167204109138,24.821249231912304, pow2(-(log(sin(tan(sin(_a0_))))))
46.0197805981881,16.904223026287138, (_a2_ * tan(tan(_a2_)))
46.6434520285089,23.537541459567514, (sqrt(_a2_) ** (_a8_ * log(_a5_)))
65.4261129423786,20.541809186013523, exp((cos(cos(_a4_)) / _a8_))
18.0863257059874,16.904223026287138, log(exp((_a9_ * _a8_)))
58.5014728615325,30.812713779020285, sin((exp(sin((_a2_ / pow2(_a1_)))) / _a9_))
51.9574610773081,24.17939534573991, sqrt((pow2(tanh(_a1_)) + exp(_a3_)))
96.6543203399730,41.08361837202705, cosh((abs(_a0_) + pow3((pow3(_a7_) ** (exp(_a8_) + _a8_)))))
64.0855988569640,36.804178326128266, pow3((_a7_ * tanh(((_a5_ ** (_a7_ * _a4_)) ** _a2_))))
25.9001553555948,16.904223026287138, ((_a8_ / x) / _a1_)
29.0838926043383,20.541809186013523, log((_a0_ + pow3(tanh(_a2_))))
15.9433455293107,13.266636866560754, tanh((_a4_ * _a2_))
