bms_E,minus_log_prob_tree,expression
99.2077835726894,14.755517816455743, abs(sin(exp(_a18_)))
471.9818656836,18.44439727056968, log(sin((_a1_ ** _a11_)))
399.418181142531,14.755517816455743, pow2(pow3(pow2(x)))
469.132276618958,14.755517816455743, -(abs(sinh(_a18_)))
94.5913882248201,14.755517816455743, (cosh(_a16_) * _a16_)
823.085560768206,25.822156178797552, pow3(-(cosh((tanh(_a18_) / _a19_))))
-162.18176383992,14.755517816455743, (pow2(x) + _a18_)
267.492704125327,18.44439727056968, exp(exp(pow3(pow3(_a1_))))
95.7132828270892,14.755517816455743, tan((_a7_ + _a7_))
165.86730751696,33.199915087025424, cos((sin(exp((_a17_ * z))) / abs(_a16_)))
109.157926121633,22.13327672468362, -((pow3(_a16_) + cosh(_a4_)))
547.913067339746,66.39983017405085, (((_a12_ / (cosh(abs(_a8_)) + (sqrt(_a7_) * sinh(_a15_)))) + pow3(log(_a4_))) / tan(_a13_))
93.2107097886194,11.066638362341807, cos(abs(_a17_))
490.379052252993,29.51103563291149, pow3(((pow3(fac(_a1_)) / _a0_) / _a7_))
1647.15993102669,62.71095071993692, exp(((abs((cosh(_a7_) / (_a7_ ** _a14_))) ** _a2_) + (_a8_ * pow3((_a5_ / _a15_)))))
97.7326931548912,11.066638362341807, tan(tanh(_a1_))
144.367971035469,11.066638362341807, tanh(cosh(z))
92.5557173056131,11.066638362341807, sinh(-(_a19_))
94.0417232069612,11.066638362341807, tanh(sqrt(_a7_))
89.6135535194732,11.066638362341807, (_a18_ + _a4_)
189.747349895852,14.755517816455743, fac(sin(cosh(_a14_)))
89.6135535194732,11.066638362341807, (_a10_ + _a4_)
94.2182402331892,11.066638362341807, sqrt(sinh(_a9_))
103.177488920432,18.44439727056968, (sin(_a14_) ** cosh(_a14_))
94.904567589435,14.755517816455743, (log(_a7_) / _a0_)
476.325090687054,22.13327672468362, (_a3_ * pow2(exp(tan(_a11_))))
192.113675327473,18.44439727056968, fac(tanh((_a5_ / _a11_)))
94.5254500331394,11.066638362341807, exp(tan(_a3_))
87.4630727569949,11.066638362341807, -(-(_a7_))
106.967740421637,22.13327672468362, abs(((_a9_ ** _a1_) / _a17_))
169.958684055618,25.822156178797552, tan((cosh(cosh(-(_a2_))) ** _a9_))
90.3780546928206,11.066638362341807, (_a6_ ** _a8_)
113.374885751544,22.13327672468362, (sqrt(_a4_) ** fac(cosh(_a9_)))
107.420805672823,18.44439727056968, (_a4_ / sinh(cosh(_a0_)))
413.720777498928,14.755517816455743, (pow3(_a8_) / x)
89.4821485675318,11.066638362341807, (_a13_ / _a7_)
90.4122267010335,11.066638362341807, sin(-(_a3_))
266.08239798283,14.755517816455743, cosh(pow3(abs(_a1_)))
86.6702579953694,7.377758908227872, sin(_a6_)
95.7657195765394,11.066638362341807, sin(tan(_a7_))
96.1807003401997,14.755517816455743, pow3((_a17_ / _a3_))
92.8796444646194,11.066638362341807, tan(pow2(_a9_))
89.613553519822,11.066638362341807, (_a5_ + _a12_)
207.53828896159,40.5776739952533, sinh((exp(z) + -((z * tan((_a1_ * _a8_))))))
269.88131390062,14.755517816455743, fac(cosh(tan(_a15_)))
137.005231849643,44.26655344936724, (((_a15_ / sin((fac(_a18_) * pow2(_a3_)))) + _a12_) ** _a13_)
97.9864723516553,18.44439727056968, (_a0_ * (_a5_ / _a18_))
89.6135535194732,11.066638362341807, (_a9_ + _a19_)
284.455588699927,25.822156178797552, fac(sqrt(tanh(exp(sqrt(cosh(_a10_))))))
94.2361676130796,11.066638362341807, sinh(log(_a8_))
97.9706353833965,14.755517816455743, (fac(_a7_) / _a13_)
475.491570526517,22.13327672468362, log(sin(sqrt((_a2_ * _a16_))))
95.7588380115687,14.755517816455743, (_a1_ + cos(_a15_))
90.8706641109992,11.066638362341807, abs(pow2(_a0_))
-233.889042139633,22.13327672468362, ((_a2_ + fac(_a18_)) * x)
411.857929728953,25.822156178797552, log(exp(cosh(cos(pow3(exp(z))))))
100.012664112378,18.44439727056968, ((_a6_ + _a13_) ** _a12_)
377.758845887844,14.755517816455743, sinh(cosh(pow2(_a16_)))
90.3780546928206,11.066638362341807, (_a7_ ** _a2_)
1246.75494189921,14.755517816455743, tan((x + _a11_))
468.199884444969,18.44439727056968, pow2(log((_a8_ / _a3_)))
108.636988712496,22.13327672468362, sin((pow2(_a11_) / tanh(_a7_)))
302.030776029372,40.5776739952533, cosh(pow3(((exp(_a0_) / _a17_) ** -(exp(fac(_a3_))))))
94.6285523484977,14.755517816455743, cos((_a12_ * _a16_))
118.208725248923,36.88879454113936, pow3(sqrt((((_a9_ + pow2(_a3_)) / z) + _a3_)))
101.046235176273,22.13327672468362, abs((_a7_ + (z * _a6_)))
117.329960181489,25.822156178797552, tanh(sqrt(pow3(abs((_a7_ / _a16_)))))
119.843622232358,22.13327672468362, sin((cos(z) + cos(_a10_)))
100.624181775479,14.755517816455743, tan(cos(sqrt(_a6_)))
97.5619780041696,14.755517816455743, abs(pow2(sin(_a5_)))
261.800570022783,14.755517816455743, cosh((_a14_ / _a7_))
460.821468456158,14.755517816455743, -(pow2(pow2(_a3_)))
104.163349964641,14.755517816455743, sin(sinh(tanh(_a17_)))
114.724589281158,25.822156178797552, sin((abs(tanh(_a0_)) * pow2(_a18_)))
267.41634463386,18.44439727056968, (fac(tan(_a9_)) + _a9_)
98.4163323110694,18.44439727056968, log(pow2(sqrt(pow2(_a19_))))
95.0180451530948,14.755517816455743, (_a18_ + sqrt(_a4_))
