bms_E,minus_log_prob_tree,expression
69.2860683529056,13.908490752733147, pow3(pow2(sinh(_a1_)))
77.0745072884796,26.533273733121508, ((_a9_ + _a8_) + sqrt((_a1_ ** _a8_)))
66.5277218223358,13.908490752733147, exp(pow2(abs(_a3_)))
61.6534343633356,10.270904593006762, sqrt(cos(_a8_))
64.774698066311,10.270904593006762, cosh(log(_a3_))
55.9943631344725,13.908490752733147, (pow2(x) / _a3_)
95.9169254649192,31.45456766519268, log(tan(pow3((abs(pow3(_a3_)) + pow2(_a7_)))))
64.8415746493363,10.270904593006762, fac(cos(_a4_))
64.3161770924264,16.262369140114743, ((_a3_ ** _a0_) + _a0_)
122.439210737481,45.36305841792583, ((_a7_ ** sqrt(tanh(sqrt(sinh(_a3_))))) + log(sqrt(cosh(fac(_a9_)))))
96.2372995432682,34.450299938746674, sqrt((pow2(sin((tan(_a7_) / sin(_a5_)))) + _a2_))
72.496041070921,17.546076912459533, cosh((x / tan(_a3_)))
72.5788451898145,16.904223026287138, (sin(_a8_) / fac(_a3_))
60.5249780952656,10.270904593006762, pow3(pow2(_a9_))
56.4642957635136,9.629050706834368, (_a4_ * _a8_)
54.9664296267366,9.629050706834368, (_a9_ * _a9_)
81.3077303486969,20.541809186013523, sqrt(fac(tan((_a7_ ** _a2_))))
71.1734941689269,16.904223026287138, abs((_a7_ / sin(_a8_)))
59.2379952718934,13.908490752733147, abs((x + _a2_))
76.6244844856848,27.81698150546629, ((_a1_ * sqrt(_a1_)) + pow2(sinh(x)))
94.9651463567037,24.17939534573991, (cosh(tanh(_a9_)) / sinh(sinh(_a4_)))
75.232249305148,16.904223026287138, (tanh(tan(_a4_)) + _a6_)
92.8713432922233,37.446032212300665, pow2(cosh(((_a0_ * _a1_) * exp(pow2((_a7_ ** _a2_))))))
70.874953376858,16.904223026287138, cos((_a5_ / sinh(_a5_)))
62.9538929888772,13.908490752733147, log(-(-(_a1_)))
76.1150607285726,17.546076912459533, tan(pow3(pow2(pow3(_a5_))))
88.4356052640818,24.17939534573991, (cos(sinh(_a4_)) ** sin(tanh(_a7_)))
97.0127119141735,31.45456766519268, cos(fac((tanh(abs(log(_a9_))) + -(_a0_))))
80.3324232349301,17.546076912459533, tan(exp(fac(cos(_a4_))))
73.5492755770792,23.537541459567517, ((tanh(pow2(_a8_)) * _a2_) * _a2_)
63.0571778275395,13.266636866560754, (pow3(_a2_) * _a0_)
60.1622302369044,13.266636866560754, pow2((_a2_ * _a7_))
69.9224531192235,16.904223026287138, abs(exp((_a2_ / _a8_)))
61.823627794111,13.266636866560754, (log(_a1_) * _a9_)
71.4413773199127,16.904223026287138, log(fac((_a4_ + _a1_)))
69.5210659216257,13.908490752733147, fac(pow3(-(_a5_)))
